row,col,x,y,land surface temperature
683,1071,623235.0,3360195.0,329.2937316894531
1613,78,593445.0,3332295.0,329.7654113769531
730,1683,641595.0,3358785.0,327.947021484375
149,1180,626505.0,3376215.0,330.1960754394531
103,1527,636915.0,3377595.0,329.8303527832031
1085,988,620745.0,3348135.0,330.8557434082031
1263,1477,635415.0,3342795.0,330.4114074707031
221,1012,621465.0,3374055.0,329.6628723144531
1117,283,599595.0,3347175.0,330.0627746582031
505,1465,635055.0,3365535.0,329.054443359375
1354,1236,628185.0,3340065.0,333.17999267578125
507,1657,640815.0,3365475.0,328.244384765625
1297,1558,637845.0,3341775.0,329.2356262207031
1396,1384,632625.0,3338805.0,331.27618408203125
571,727,612915.0,3363555.0,332.89630126953125
233,715,612555.0,3373695.0,327.571044921875
1131,1492,635865.0,3346755.0,329.1672668457031
322,1488,635745.0,3371025.0,328.599853515625
1566,1539,637275.0,3333705.0,329.3244934082031
58,637,610215.0,3378945.0,330.1653137207031
1027,771,614235.0,3349875.0,331.70001220703125
259,1191,626835.0,3372915.0,330.2746887207031
63,1675,641355.0,3378795.0,329.1980285644531
1322,1720,642705.0,3341025.0,330.6985168457031
1173,1505,636255.0,3345495.0,330.1277160644531
1493,1076,623385.0,3335895.0,329.105712890625
708,1342,631365.0,3359445.0,327.728271484375
1210,942,619365.0,3344385.0,329.3279113769531
1192,1622,639765.0,3344925.0,329.3655090332031
1632,1001,621135.0,3331725.0,329.3996887207031
606,1020,621705.0,3362505.0,333.13214111328125
208,632,610065.0,3374445.0,327.0617370605469
1033,918,618645.0,3349695.0,329.006591796875
695,1004,621225.0,3359835.0,329.2834777832031
954,1155,625755.0,3352065.0,328.760498046875
636,1646,640485.0,3361605.0,328.989501953125
1230,982,620565.0,3343785.0,331.0881652832031
901,134,595125.0,3353655.0,328.852783203125
1313,843,616395.0,3341295.0,329.3552551269531
1597,132,595065.0,3332775.0,326.6174011230469
1243,1089,623775.0,3343395.0,330.0217590332031
1382,1212,627465.0,3339225.0,329.4270324707031
273,1112,624465.0,3372495.0,330.1140441894531
1341,900,618105.0,3340455.0,330.7737121582031
1553,1303,630195.0,3334095.0,329.8440246582031
1534,622,609765.0,3334665.0,330.7156066894531
100,675,611355.0,3377685.0,327.181396484375
1670,523,606795.0,3330585.0,331.32061767578125
1521,1408,633345.0,3335055.0,330.7805480957031
348,810,615405.0,3370245.0,330.1584777832031
984,1353,631695.0,3351165.0,327.964111328125
472,1292,629865.0,3366525.0,328.374267578125
1329,1329,630975.0,3340815.0,330.7634582519531
412,1575,638355.0,3368325.0,328.333251953125
872,1040,622305.0,3354525.0,333.2278747558594
624,1002,621165.0,3361965.0,327.841064453125
841,1167,626115.0,3355455.0,331.61456298828125
1577,1504,636225.0,3333375.0,329.8337707519531
596,1023,621795.0,3362805.0,330.4114074707031
850,265,599055.0,3355185.0,329.4817199707031
261,175,596355.0,3372855.0,325.8346862792969
