row,col,x,y,land surface temperature,B2_blue,B3_green,B4_red,B5_NIR,B6_SWIR1,B7_SWIR2,B8_pan,B9_cirrus,NDVI,EVI,NDWI
264,603,609195.0,3372765.0,314.24417,0.20873426,0.16211192,0.11309119,0.5174244,0.20510742,0.08456403,0.07729011,0.0011336772,0.6412739,1.6033146,-0.52287483
725,924,618825.0,3358935.0,320.11633,0.26594457,0.214233,0.19042459,0.5496564,0.2377879,0.13432573,0.08351422,0.0012225931,0.48539528,1.2873483,-0.43909946
775,467,605115.0,3357435.0,320.67004,0.2184448,0.18077254,0.13842052,0.5935878,0.19099006,0.07988425,0.10754373,0.0011114483,0.62180614,1.4481478,-0.53310484
1014,538,607245.0,3350265.0,319.9796,0.28138787,0.2531922,0.24125873,0.7335133,0.4373806,0.24445659,0.103609204,0.0011114483,0.5049945,1.1494222,-0.48679277
37,539,607275.0,3379575.0,317.55966,0.22534749,0.20031065,0.15772462,0.7382516,0.31235242,0.13666561,0.09511774,0.001267051,0.6479268,1.4593538,-0.5731543
1610,150,595605.0,3332385.0,320.6051,0.24400811,0.22411904,0.214116,0.69262373,0.42946395,0.22507448,0.09771853,0.0014448827,0.5277234,1.0427195,-0.51105356
181,1708,642345.0,3375255.0,315.01324,0.20855875,0.17269994,0.12876847,0.7796092,0.26629558,0.084135056,0.0792018,0.0010892192,0.716487,1.6468152,-0.6373028
1600,1192,626865.0,3332685.0,322.04752,0.23295212,0.19153604,0.16515377,0.49466893,0.34592986,0.1796026,0.088560194,0.0010669903,0.49939954,1.1155626,-0.4417527
318,580,608505.0,3371145.0,314.16214,0.20417146,0.15883607,0.10852842,0.5666206,0.20202658,0.07606243,0.07288878,0.0010003034,0.67850524,1.6682038,-0.5621074
654,968,620145.0,3361065.0,323.3327,0.25120327,0.21394052,0.17036004,0.68396616,0.23880185,0.12683806,0.10229769,0.00091138756,0.6011827,1.5618687,-0.52346826
318,1384,632625.0,3371145.0,318.63974,0.29700664,0.27536264,0.2528412,0.7530514,0.41866145,0.22850633,0.11636863,0.0010892192,0.49727988,1.1994885,-0.4644907
1062,172,596265.0,3348825.0,317.129,0.21686538,0.18042156,0.13736758,0.6558874,0.2741732,0.120247364,0.08246946,0.0015782565,0.6536611,1.5186222,-0.56852895
1638,1152,625665.0,3331545.0,324.06415,0.24506105,0.21031368,0.19937468,0.5600689,0.3821202,0.192628,0.10614331,0.0008891586,0.4749454,0.98189867,-0.454002
1532,1725,642855.0,3334725.0,317.79208,0.2097872,0.16942407,0.124030195,0.5809524,0.26964942,0.11127778,0.07493384,0.0013337379,0.6481326,1.5195699,-0.5484292
561,1577,638415.0,3363855.0,320.9264,0.24909736,0.2357015,0.20686235,0.84296167,0.4055191,0.18525736,0.09940793,0.0014893407,0.6059105,1.3078716,-0.5629748
326,1052,622665.0,3370905.0,318.08945,0.22400205,0.18381442,0.14941801,0.6609767,0.3088816,0.128086,0.08062445,0.0011114483,0.6312464,1.4574828,-0.56482875
1195,233,598095.0,3344835.0,319.4806,0.24956535,0.23646197,0.21604642,0.72380275,0.44740313,0.23696893,0.12943926,0.0014004247,0.54025304,1.1054126,-0.5075067
1305,851,616635.0,3341535.0,322.00308,0.31794864,0.29279482,0.2633707,0.6531381,0.3623091,0.22113566,0.11194507,0.0011781352,0.42527404,1.1480664,-0.38093957
910,745,613455.0,3353385.0,315.00983,0.20288451,0.16140996,0.104141116,0.5397703,0.19184804,0.06873077,0.074667096,0.0010003034,0.6765359,1.6937814,-0.5396049
1559,1436,634185.0,3333915.0,323.425,0.25436214,0.23599397,0.2419022,0.7272541,0.44287935,0.22581546,0.13270693,0.0013337379,0.5007984,0.954702,-0.51000375
237,664,611025.0,3373575.0,320.68713,0.2956027,0.29794258,0.28712058,0.7822416,0.32635278,0.20038866,0.11021121,0.0013559669,0.4630059,0.961068,-0.44834852
219,710,612405.0,3374115.0,321.97232,0.25132027,0.2227736,0.2034695,0.5906045,0.26079684,0.14212535,0.09180562,0.0015115696,0.48753008,1.0445949,-0.4522262
1561,719,612675.0,3333855.0,323.16522,0.24915588,0.22470401,0.2099042,0.7372572,0.44822213,0.22367056,0.10460951,0.0011781352,0.55677205,1.168765,-0.532821
1673,449,604575.0,3330495.0,323.81464,0.24102475,0.20452245,0.20036913,0.6497452,0.3798583,0.17932962,0.08724869,0.001267051,0.52860665,1.0758094,-0.52117485
400,853,616695.0,3368685.0,322.59097,0.2801594,0.23962082,0.21335554,0.665832,0.33317745,0.20237753,0.17169653,0.0009558455,0.5146529,1.3390527,-0.47071606
1368,1014,621525.0,3339645.0,315.86774,0.27068287,0.2697469,0.26225924,0.88712716,0.51658595,0.2503063,0.09529557,0.0013781958,0.5436535,1.091998,-0.53366244
79,465,605055.0,3378315.0,318.87558,0.25752097,0.24634801,0.22429453,0.7595446,0.4327008,0.22152565,0.10372035,0.0007780138,0.5440422,1.1398927,-0.51019025
1254,1345,631455.0,3343065.0,318.1783,0.7105824,0.7698401,0.8954923,1.0,0.7641464,0.58034796,0.33334556,0.0014448827,0.05513485,0.12784839,-0.13004558
1297,247,598515.0,3341775.0,322.11246,0.28788105,0.29057193,0.26284423,0.91438687,0.44642818,0.24293564,0.112211816,0.00093361654,0.5534535,1.2225493,-0.51770645
317,931,619035.0,3371175.0,319.27893,0.21943925,0.17205647,0.12754002,0.6354134,0.27269128,0.117673494,0.08807116,0.0012003641,0.66566765,1.6820138,-0.57383806
541,1319,630675.0,3364455.0,319.93176,0.3343279,0.31906012,0.31601825,0.826641,0.42146936,0.23143119,0.1560918,0.0011114483,0.44687226,1.0504123,-0.44303077
