row,col,x,y,lst
639,955,619755.0,3361515.0,319.40198
654,969,620175.0,3361065.0,323.50018
591,994,620925.0,3362955.0,324.53925
621,926,618885.0,3362055.0,316.57867
636,901,618135.0,3361605.0,314.03568
654,968,620145.0,3361065.0,323.3327
653,969,620175.0,3361095.0,323.93085
641,967,620115.0,3361455.0,319.83264
624,994,620925.0,3361965.0,324.42987
684,959,619875.0,3360165.0,320.19153
655,977,620415.0,3361035.0,322.91226
1596,1129,624975.0,3332805.0,323.51044
1619,1131,625035.0,3332115.0,323.95135
1637,1225,627855.0,3331575.0,326.34055
1594,1133,625095.0,3332865.0,322.9772
1611,1141,625335.0,3332355.0,323.5583
1635,1130,625005.0,3331635.0,326.83273
1643,1086,623685.0,3331395.0,325.65012
1628,1176,626385.0,3331845.0,321.30923
1628,1131,625035.0,3331845.0,325.69113
1624,1131,625035.0,3331965.0,324.112
1621,1156,625785.0,3332055.0,324.8332
1556,1439,634275.0,3334005.0,321.3434
1568,1431,634035.0,3333645.0,326.009
1577,1380,632505.0,3333375.0,322.26968
1562,1436,634185.0,3333825.0,324.30682
1567,1424,633825.0,3333675.0,322.70377
1582,1472,635265.0,3333225.0,323.23358
1607,1421,633735.0,3332475.0,324.0949
1626,1458,634845.0,3331905.0,322.8644
1564,1431,634035.0,3333765.0,324.5324
1509,1389,632775.0,3335415.0,323.2575
1585,1370,632205.0,3333135.0,326.43625
1561,688,611745.0,3333855.0,322.35855
1510,665,611055.0,3335385.0,319.06702
1551,751,613635.0,3334155.0,320.95374
1524,720,612705.0,3334965.0,320.74866
1551,662,610965.0,3334155.0,326.5627
1589,672,611265.0,3333015.0,313.82034
1494,703,612195.0,3335865.0,325.0588
1597,760,613905.0,3332775.0,318.75595
1530,784,614625.0,3334785.0,324.27606
1566,783,614595.0,3333705.0,323.98553
1665,520,606705.0,3330735.0,321.19302
1634,496,605985.0,3331665.0,323.43182
1675,432,604065.0,3330435.0,328.25122
1608,471,605235.0,3332445.0,321.54166
1672,448,604545.0,3330525.0,324.23163
1672,449,604575.0,3330525.0,323.68134
1635,450,604605.0,3331635.0,319.66516
1671,453,604695.0,3330555.0,323.40106
1669,451,604635.0,3330615.0,323.66766
392,894,617925.0,3368925.0,322.0988
418,852,616665.0,3368145.0,315.4405
390,865,617055.0,3368985.0,323.13104
415,868,617145.0,3368235.0,321.5314
379,818,615645.0,3369315.0,320.4171
