row,col,x,y,land surface temperature
1568,1196,626985.0,3333645.0,323.58905029296875
1560,1224,627825.0,3333885.0,323.35321044921875
694,1028,621945.0,3359865.0,326.4977722167969
596,972,620265.0,3362805.0,323.73944091796875
678,991,620835.0,3360345.0,322.1432189941406
1590,1114,624525.0,3332985.0,324.92889404296875
1643,1137,625215.0,3331395.0,328.442626953125
1304,847,616515.0,3341565.0,324.21795654296875
1264,873,617295.0,3342765.0,324.45379638671875
1533,1437,634215.0,3334695.0,322.9874572753906
1547,1501,636135.0,3334275.0,319.2379150390625
1545,1438,634245.0,3334335.0,319.5045166015625
219,707,612315.0,3374115.0,323.70867919921875
261,738,613245.0,3372855.0,321.2511291503906
1489,717,612615.0,3336015.0,324.03680419921875
1585,707,612315.0,3333135.0,316.61285400390625
1563,706,612285.0,3333795.0,322.7003479003906
378,846,616485.0,3369345.0,323.12420654296875
348,882,617565.0,3370245.0,320.3931884765625
414,837,616215.0,3368265.0,316.67437744140625
1288,243,598395.0,3342045.0,322.9874572753906
1297,247,598515.0,3341775.0,322.1124572753906
840,1029,621975.0,3355485.0,324.45379638671875
832,1002,621165.0,3355725.0,326.3405456542969
898,977,620415.0,3353745.0,323.38055419921875
137,1623,639795.0,3376575.0,325.9064636230469
101,1601,639135.0,3377655.0,321.5860900878906
11,1466,635085.0,3380355.0,325.5885925292969
478,1142,625365.0,3366345.0,325.5099792480469
501,1116,624585.0,3365655.0,324.06414794921875
459,1120,624705.0,3366915.0,322.9806213378906
581,48,592545.0,3363255.0,324.05389404296875
621,16,591585.0,3362055.0,320.7794189453125
841,1232,628065.0,3355455.0,315.49859619140625
856,1251,628635.0,3355005.0,317.5049743652344
1608,1414,633525.0,3332445.0,324.34100341796875
1574,1403,633195.0,3333465.0,323.58563232421875
1639,1427,633915.0,3331515.0,321.7262268066406
309,820,615705.0,3371415.0,321.5860900878906
276,764,614025.0,3372405.0,317.6861267089844
441,895,617955.0,3367455.0,324.35809326171875
402,906,618285.0,3368625.0,321.9107971191406
445,963,619995.0,3367335.0,323.15496826171875
1487,1408,633345.0,3336075.0,320.0274658203125
1587,1357,631815.0,3333075.0,323.44891357421875
1463,1373,632295.0,3336795.0,319.2755126953125
322,1555,637755.0,3371025.0,323.73260498046875
354,1629,639975.0,3370065.0,324.74774169921875
320,1560,637905.0,3371085.0,321.7945861816406
1415,1620,639705.0,3338235.0,322.5978088378906
1432,1662,640965.0,3337725.0,317.0879821777344
1322,1636,640185.0,3341025.0,321.2955627441406
38,1248,628545.0,3379545.0,323.99920654296875
34,1316,630585.0,3379665.0,323.98211669921875
1435,1264,629025.0,3337635.0,321.9689025878906
1435,1224,627825.0,3337635.0,323.30194091796875
1452,1264,629025.0,3337125.0,320.8614501953125
1588,1230,628005.0,3333045.0,322.7208557128906
1516,1175,626355.0,3335205.0,324.05389404296875
1528,1196,626985.0,3334845.0,326.4635925292969
1653,1047,622515.0,3331095.0,323.04901123046875
1656,1014,621525.0,3331005.0,325.9098815917969
