sample_size,avg_optimal_k,std_optimal_k,avg_mse
100,16.4,4.673328578219168,10.055992334199283
200,20.0,10.844353369380768,10.134214018975921
300,19.0,5.966573556070519,10.673304435778311
400,24.2,14.190137420053407,9.753470177078421
500,16.2,1.5999999999999999,9.026747389758105
600,16.0,2.756809750418044,8.897390924485858
700,14.0,3.1622776601683795,8.509347590439903
800,22.6,5.043808085167396,8.530953448996824
900,15.0,2.8284271247461903,8.579020687002302
1000,16.0,6.54217089351845,8.539820883049291
1100,17.0,3.0983866769659336,8.093032264090002
1200,20.6,4.409081537009721,8.314727466339523
1300,16.6,1.624807680927192,8.020271218484444
1400,16.8,1.7204650534085253,7.927910801057626
1500,16.0,4.979959839195493,7.722643174675507
1600,12.6,1.7435595774162693,7.728533901780276
1700,13.6,7.605261336732618,7.735067060839119
1800,13.6,4.317406628984581,7.637302226627504
1900,12.2,3.1240998703626617,7.3655055885984195
2000,10.0,2.898275349237888,7.34938158191669
2100,10.0,2.280350850198276,7.333969567911595
2200,8.6,1.0198039027185568,7.315415779440237
2300,10.8,0.7483314773547882,7.248897189376054
2400,8.8,1.16619037896906,7.222488151064011
2500,10.4,2.870540018881465,7.232738902221305
2600,9.2,0.9797958971132713,7.102813742493952
2700,7.6,1.3564659966250536,6.960259022826089
