sample_size,avg_optimal_k,std_optimal_k,avg_mse
100,19.935,14.764036541542424,10.621171617268734
200,19.123,9.652350542743463,9.901431670437857
300,18.404,8.97010501610767,9.482934814242764
400,17.833,7.763833524747938,9.219193645069264
500,17.424,6.102313004099347,8.983622947377
600,17.691,5.333246572210965,8.755910798204667
700,17.608,4.811895260705494,8.599113672960481
800,17.401,4.629708306146296,8.50923106179068
900,17.654,4.901865359228056,8.381205383685703
1000,17.179,4.821510033174254,8.245411320555213
1100,17.401,5.260627243970057,8.178803892160524
1200,16.733,5.049129726992563,8.076113653761873
1300,15.878,4.936305906242035,7.981051659302558
1400,15.267,4.809335816929402,7.888479906248371
1500,14.351,4.660879638008259,7.8197337434346315
1600,13.799,4.628887447324681,7.74670312727023
1700,12.925,4.0365052954257346,7.678575541993956
1800,12.111,3.722456044065531,7.5922962219181045
1900,11.543,3.41147343533553,7.518511988285403
2000,11.035,2.9999624997656222,7.450665136082682
2100,10.656,2.6562499882352943,7.377873001073023
2200,10.29,2.443747122760455,7.307594256800394
2300,10.045,2.208840193404675,7.244389625975807
2400,9.656,1.993405126912239,7.168675632042414
2500,9.511,1.9010205154074482,7.112930091649382
2600,9.216,1.77294782777159,7.063366186631049
2700,9.09,1.6720944949374121,6.997449597015524
