sample_size,avg_optimal_k,std_optimal_k,avg_mse
100,9.169,4.183113553323648,6.33824517522516
200,11.792,4.446654472746899,5.785652594190205
300,13.095,4.547304146414665,5.554618068846388
400,14.516,4.6555068467353795,5.4586817257065166
500,15.296,4.742402766530907,5.328487289945617
600,16.424,4.85141463905117,5.229828212423689
700,17.403,4.773949203751544,5.171168781227971
800,17.989,4.945389671198823,5.117410585568565
900,18.33,5.020468105665048,5.0629917998076905
1000,18.805,5.206627987479036,5.027922754942293
1100,19.31,5.342087606919228,4.987773714680094
1200,19.506,5.40943287230741,4.960828422261708
1300,19.553,5.544113184270321,4.939494119091123
1400,19.786,5.316220838151853,4.90367494364978
1500,19.57,4.94419862060577,4.8970270648653
1600,19.999,4.881290710457635,4.857654861875694
1700,19.99,4.847669543192894,4.841959518817364
1800,20.294,4.637409190485567,4.830882970861274
1900,20.147,4.395155401120648,4.803853069200942
2000,20.741,4.1393138320257865,4.7926388938167825
2100,20.744,3.9159244119364716,4.776642744322615
2200,21.133,3.9006808380076423,4.756904542384929
2300,21.241,3.724905233693872,4.7444376017046235
2400,21.626,3.630444049975154,4.732496393981891
2500,21.752,3.6930334414949457,4.713597628460728
2600,22.174,3.378124331637306,4.701783913475865
2700,22.674,3.6226680775362237,4.699186157171063
